rowid,email,image,location,meetup,meetup_id,meetup_image,name,organizer,pro_network,twitter,website,facebook,github,external_website,external_ website,instagram,Linkedin,timepad,google_plus,timepad_id,youtube,whatsapp,new_location,latitude,longitude
51,plateau@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 9.2446, ""longitude"": 9.3673}",,,,"Jos, plateau",,,,,,,,,,,,,,,,"9.2446, 9.3673",9.2446,9.3673
52,kampala@pyladies.com,pyladies_kampala.png,"{""latitude"": 0.347596, ""longitude"": 32.58252}",,244079349,,"Kampala, Uganda",,,pyladieskla,kampala,,,,,,,,,,,,"0.347596, 32.58252",0.347596,32.58252
53,kzn@pyladies.com,pyladies_kzn.png,"{""latitude"": 55.798697, ""longitude"": 49.1039413}",,,,"Kazan, Russia",,,pyladieskzn,,pyladieskzn,,,,,,pyladies-kzn,,,,,"55.798697, 49.1039413",55.798697,49.1039413
54,kosice@pyladies.org,pyladies_logo.png,"{""latitude"": 48.716385, ""longitude"": 21.261074}",,,,"Kosice, Slovakia",Iveta Tonhauserova,,,,PyLadiesKosice,,,,,,,,,,,"48.716385, 21.261074",48.716385,21.261074
55,,pyladies-sq-logo.png,"{""latitude"": 35.0117, ""longitude"": 135.7683}",,,,Kyoto,,,,http://pyladies-kyoto.connpass.com,PyLadiesKyoto,,1,,,,,https://plus.google.com/u/0/communities/113677670074162908256,,,,"35.0117, 135.7683",35.0117,135.7683
56,lp@pyladies.com,pyladies_lapaz.png,"{""latitude"": -16.52, ""longitude"": -68.1}",,,,"La Paz, Bolivia",,,PyLadiesLaPaz,https://www.meetup.com/La-Paz-PyLadies-Meetup,PyLadiesLaPaz,,1,,,,,,,,,"-16.52, -68.1",-16.52,-68.1
57,elalto@pyladies.com,pyladies_elalto.jpg,"{""latitude"": -16.5, ""longitude"": -68.21}",,,,"El Alto, Bolivia",,,PyLadiesElAlto,elalto,,,,,,,,,,,,"-16.5, -68.21",-16.5,-68.21
58,lisboa@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 38.736946, ""longitude"": -9.142685}",,,,"Lisbon, Portugal",,,PyLadiesLisboa,,,,,,,,,,,,,"38.736946, -9.142685",38.736946,-9.142685
59,london@pyladies.com,pyladies_london.png,"{""latitude"": 51.51, ""longitude"": -0.13}",pyladieslondon,4663509776,,"London, UK",Anna,Python Software Foundation Meetup Pro Network,PyLadiesLondon,,,,,,,,,,,,,"51.51, -0.13",51.51,-0.13
60,la@pyladies.com,pyladies_la.jpeg,"{""latitude"": 34.04, ""longitude"": -118.25}",Pyladies-LA,4663512976,https://secure.meetupstatic.com/photos/event/c/6/3/8/highres_476870744.jpeg,"Los Angeles, CA",Sylvia Tran,Python Software Foundation Meetup Pro Network,pyladiesLA,https://pyladiesla.netlify.com/,,,1,,,,,,,,,"34.04, -118.25",34.04,-118.25
61,mavs@pyladies.com,pyladies-geek-grey-blue.png,"{""latitude"": 32.62, ""longitude"": -97.15}",PyLadies-Arlington,4663509776,,Mavs PyLadies,,,,mavs,pyladiesmavs,,,,,,,,,,,"32.62, -97.15",32.62,-97.15
62,maceio@pyladies.com,pyladies_maceio.png,"{""latitude"": -9.6498487, ""longitude"": -35.708949200000006}",,203416475,,"Maceio, Brazil",,,@maceiopyladies,,www.facebook.com/profile.php?id=100011766016329,,,,,,,,,,,"-9.6498487, -35.708949200000006",-9.6498487,-35.708949200000006
63,manaus@pyladies.com,pyladies_manaus.png,"{""latitude"": -3.10719, ""longitude"": -60.0261}",,,,"Manaus, Brazil",,,@pyladiesmanaus,pyladiesmanaus.pythonanywhere.com/,www.facebook.com/pyladiesmanaus/,,1,,,,,,,,,"-3.10719, -60.0261",-3.10719,-60.0261
64,milan@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 45.46, ""longitude"": 9.19}",meetup-group-AmxqeOPN/,4663509776,,"Milan, Italy",PyLadies Milano,Python Software Foundation Meetup Pro Network,@MilanoPyladies,,pg/pyladiesmilan,,,,,,,,,,,"45.46, 9.19",45.46,9.19
65,melbourne@pyladies.com,pyladies_melbourne.jpeg,"{""latitude"": -37.81, ""longitude"": 144.96}",PyLadies-Melbourne,4663512976,https://secure.meetupstatic.com/photos/event/4/1/d/7/highres_463036855.jpeg,"Melbourne, Australia",Brianna Laugher (PyLadiesMEL),Python Software Foundation Meetup Pro Network,PyLadiesMEL,http://melbourne.pyladies.com/,pyladiesau,pyladiesmelbourne,1,,,,,,,,,"-37.81, 144.96",-37.81,144.96
66,Mohali@pyladies.com,mapmarker.png,"{""latitude"": 30.704649, ""longitude"": 76.717873}",,,,Mohali,,,,,,,,,,,,,,,,"30.704649, 76.717873",30.704649,76.717873
67,montreal@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 45.52, ""longitude"": -73.58}",PyLadiesMTL,4663509776,https://secure.meetupstatic.com/photos/event/1/8/4/e/highres_227526222.jpeg,"Montreal, Canada",Julie Lewis,,pyladiesMTL,mtl,,,,,,,,,,,,"45.52, -73.58",45.52,-73.58
68,MA@pyladies.com,pyladies_ma.png,"{""latitude"": 33.97159, ""longitude"": -6.849813}",,193620926,,Morocco,,,PyLadiesMa,MA,,,,,,,,,,,,"33.97159, -6.849813",33.97159,-6.849813
69,mum@pyladies.com,amchi_pyladies.png,"{""latitude"": 18.9523804, ""longitude"": 72.8327112}",,,,"Mumbai, India",,,,,,,,,,,,,,,,"18.9523804, 72.8327112",18.9523804,72.8327112
70,munich@pyladies.com,pyladiesmu_logo.png,"{""latitude"": 48.14, ""longitude"": 11.58}",PyLadiesMunich,4663512976,https://secure.meetupstatic.com/photos/event/1/e/1/f/highres_485407711.jpeg,"Munich, Germany",Laysa Uchoa,Python Software Foundation Meetup Pro Network,pyladiesmunich,https://github.com/pyladiesmunich,,,1,,,,,,,,,"48.14, 11.58",48.14,11.58
71,southflorida@pyladies.com,pyladies_soflo.png,"{""latitude"": 26.14234, ""longitude"": -81.79596}",PyLadies-SoFlo,,,"South Florida, USA",Inessa Pawson,,PyLadiesSoFlo,,PyLadiesSoFlo,PyLadiesSoFlo,,,,,,,,,,"26.14234, -81.79596",26.14234,-81.79596
72,info@pyladies.com,pyladies_nashville.jpeg,"{""latitude"": 36.1622296, ""longitude"": -86.7743531}",Nashville-PyLadies,,,"Nashville, TN",,,PyNashLadies,nash,,,,,,,,,,,,"36.1622296, -86.7743531",36.1622296,-86.7743531
73,brasil@pyladies.org,pyladies_natal.png,"{""latitude"": -5.7792569, ""longitude"": -35.200916}",,,,"Natal, Brazil",,,pyladiesbrazil,http://pyladiesnatal.github.io/,PyLadiesbrazil,pyladies-brazil,1,,,,,,,,,"-5.7792569, -35.200916",-5.7792569,-35.200916
74,newarkde@pyladies.com,,"{""latitude"": 39.6832884, ""longitude"": -75.7497231}",PyLadies-Newark-DE,,,"Newark, DE",,,,,,,,,,,,,,,,"39.6832884, -75.7497231",39.6832884,-75.7497231
75,nyc@pyladies.com,pyladies_ny.png,"{""latitude"": 40.75, ""longitude"": -73.99}",nyc-pyladies,4663509776,https://secure.meetupstatic.com/photos/event/8/3/4/c/highres_479733612.jpeg,"New York, NY",NYC PyLadies,Python Software Foundation Meetup Pro Network,NYCpyladies,http://nyc.pyladies.com,,,1,,,,,,,,,"40.75, -73.99",40.75,-73.99
76,nigeria@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 6.465422, ""longitude"": 3.406448}",,201759643,,Nigeria,,,PyladiesNigeria,dc,,,,,,,,,,,,"6.465422, 3.406448",6.465422,3.406448
77,ojere@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 7.1557102, ""longitude"": 3.3450899}",,,,"Ojere, NG",,,pyladiesojere,,,,,,,,,,,,,"7.1557102, 3.3450899",7.1557102,3.3450899
78,okinawa@pyladies.com,,"{""latitude"": 26.3305244, ""longitude"": 127.8767851}",,,,"Okinawa, Japan",,,PyLadiesOkinawa,,,,,,,,,,,,,"26.3305244, 127.8767851",26.3305244,127.8767851
79,oslo@pyladies.com,pyladies-oslo.png,"{""latitude"": 59.9111889074049, ""longitude"": 10.750322585469299}",pyladies-oslo,,,"Oslo, Norway",,,,,,,,,,,,,,,,"59.9111889074049, 10.750322585469299",59.9111889074049,10.750322585469299
80,pb@pyladies.com,,"{""latitude"": -7.24, ""longitude"": -36.782}",,,,"Paraiba, Brazil",,,pyladiesPB,,pyladiespb,pyladiespb,,,,,,,,,,"-7.24, -36.782",-7.24,-36.782
81,paris@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 48.86, ""longitude"": 2.34}",PyLadies-Paris,4663512976,https://secure.meetupstatic.com/photos/event/e/3/2/7/highres_438478151.jpeg,"Paris, France",Lucy ,,PyLadiesParis,paris,,,,,,,,,,,,"48.86, 2.34",48.86,2.34
82,poland@pyladies.com,pyladies_poland.png,"{""latitude"": 52.0977181, ""longitude"": 19.0258159}",,185065560,,Poland,,,PyladiesPL,pl,pyladiespl,,,,,,,,,,,"52.0977181, 19.0258159",52.0977181,19.0258159
83,pyladies.pdx@gmail.com,pyladies_pdx.png,"{""latitude"": 35.77, ""longitude"": -78.64}",pyladies-rdu,4663509776,,"Portland, OR",Charlotte,Python Software Foundation Meetup Pro Network,pyladies_pdx,http://pyladiespdx.github.io,,,1,,,,,,,,,"35.77, -78.64",35.77,-78.64
84,pyladiespoa@openmailbox.org,pyladies-poa.png,"{""latitude"": -30.0333, ""longitude"": -51.2}",,,,"Porto Alegre, Brazil",,,Pyladiespoas,https://pyladiespoa.pythonanywhere.com,PoaPyladies,pyladiespoa,1,,,,,,,,,"-30.0333, -51.2",-30.0333,-51.2
85,pune@pyladies.com,pyladies_pune.jpeg,"{""latitude"": 18.53, ""longitude"": 73.84}",PyLadies-Pune,4663512976,https://secure.meetupstatic.com/photos/event/9/4/e/b/highres_458618123.jpeg,"Pune, India",Anwesha Das,,PyladiesPune,http://pune.pyladies.com/,PyLadiesPune,,1,,,,,,,,,"18.53, 73.84",18.53,73.84
86,quito@pyladies.com,pyladies_ec.png,"{""latitude"": -0.17752, ""longitude"": -78.465686}",,,,"Quito, Ecuador",,,PyladiesEc,,pyladiesecq,pyladies-ecuador,,,,,,,,,,"-0.17752, -78.465686",-0.17752,-78.465686
87,rdu@pyladies.com,pyladies_rdu.png,"{""latitude"": 35.77, ""longitude"": -78.64}",pyladies-rdu,4663661776,,"Raleigh-Durham, NC",Charlotte,Python Software Foundation Meetup Pro Network,pyladiesrdu,rdu,,,,,,,,,,,,"35.77, -78.64",35.77,-78.64
88,recife@pyladies.org,pyladies_recife.png,"{""latitude"": -8.0475458, ""longitude"": -34.8769621}",,,,"Recife, Brazil",,,pyladiesrecife,http://brasil.pyladies.com,PyLadies-Recife,pyladies-brazil,1,,,,,,,,,"-8.0475458, -34.8769621",-8.0475458,-34.8769621
89,remote@pyladies.com,pyladies-remote.png,,,,,"Remote, Everywhere",,,pyladiesremote,http://remote.pyladies.com,,pyladies-remote,1,,,,,,,,,,,
90,enespanol@pyladies.com,pyladies_enespanol.jpg,,,,,"en Espa&ntilde;ol, Everywhere",,,PyladiesEspanol,,,,,,,,,,,,,,,
91,brasil@pyladies.org,pyladies_rio.png,"{""latitude"": -22.9082998, ""longitude"": -43.1970773}",,,,"Rio de Janeiro, Brazil",,,rio_pyladies,http://brasil.pyladies.com,PyLadiesRio,pyladies-brazil,1,,,,,,,,,"-22.9082998, -43.1970773",-22.9082998,-43.1970773
92,saltlake@pyladies.com,pyladies_sd_brno.png,"{""latitude"": 41.6449294, ""longitude"": -112.2535647}",,8161032,,"Salt Lake Area, Utah",,,,saltlake,,,,,,,,,,,,"41.6449294, -112.2535647",41.6449294,-112.2535647
93,spb@pyladies.com,pyladies_spb.png,"{""latitude"": 59.9343, ""longitude"": 30.3351}",,,,"Saint Petersburg, Russia",,,pyladies_spb,http://spb.pyladies.com,pyladies.spb,,1,,,,pyladies-spb,,135287,,,"59.9343, 30.3351",59.9343,30.3351
94,salvador@pyladies.com,pyladies_salvador_logo.png,"{""latitude"": -12.9704, ""longitude"": -38.5124}",,,,"Salvador, Brazil",,,,https://pyladiessalvador.github.io/,PyLadiesSalvador,PyLadiesSalvador,1,,,,,,,,,"-12.9704, -38.5124",-12.9704,-38.5124
95,juliet.oberding@gmail.com,pyladies_sd_brno.png,"{""latitude"": 32.76, ""longitude"": -117.2}",sd-pyladies,4663509776,https://secure.meetupstatic.com/photos/event/4/0/2/3/highres_433096419.jpeg,"San Diego, CA",Carol Naslund Willing,,,sd,,,,,,,,,,,,"32.76, -117.2",32.76,-117.2
